Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
abz5.txt,1234.0,3836.0,210.86%,2255858,1860.6826148033144,False,1288.0,4.38%,3124386,1800.123407125473,False
ft06.txt,55.0,55.0,0.00%,781850,1803.842610359192,False,55.0,0.00%,1081177,331.0009067058563,True
ft10.txt,930.0,2611.0,180.75%,282578,1802.298817396164,False,1045.0,12.37%,3095166,1800.155808210373,False
ft20.txt,1165.0,2340.0,100.86%,1518322,1871.6549253463745,False,1461.0,25.41%,2163124,1800.0443844795227,False
la07.txt,890.0,1735.0,94.94%,2242289,1879.911742925644,False,890.0,0.00%,4627423,1800.2423512935638,False
la21.txt,1046.0,1969.0,88.24%,119355,1802.1809377670288,False,1290.0,23.33%,2172833,1800.0736436843872,False
la26.txt,1218.0,6261.0,414.04%,879101,1885.672477006912,False,1529.0,25.53%,1445626,1800.0673146247864,False
ta01.txt,1231.0,3468.0,181.72%,79798,1801.8875482082367,False,1656.0,34.52%,1822030,1800.0969352722168,False
ta20.txt,1318.0,10475.0,694.76%,643473,1897.379085302353,False,1745.0,32.40%,1189311,1800.0766687393188,False
ta41.txt,1859.0,10166.0,446.85%,21130,1803.2132546901703,False,3048.0,63.96%,413972,1800.1821584701538,False
